Acronym, ID, redgreenblue
RSPv6b, 622, 26166152
VISa1, 312782550, 0159172
VISa2/3, 312782554, 0159172
VISa4, 312782558, 0159172
VISa5, 312782562, 0159172
VISa6a, 312782566, 0159172
VISa6b, 312782570, 0159172
VISrl1, 312782604, 0159172
VISrl2/3, 312782608, 0159172
VISrl4, 312782612, 0159172
VISrl5, 312782616, 0159172
VISrl6a, 312782620, 0159172
VISrl6b, 312782624, 0159172
TEa1, 97, 21176179
TEa2/3, 1127, 21176179
TEa4, 234, 21176179
TEa5, 289, 21176179
TEa6a, 729, 21176179
TEa6b, 786, 21176179
PERI6a, 335, 14150132
PERI6b, 368, 14150132
PERI1, 540, 14150132
PERI5, 692, 14150132
PERI2/3, 888, 14150132
ECT1, 836, 13159145
ECT2/3, 427, 13159145
ECT5, 988, 13159145
ECT6a, 977, 13159145
ECT6b, 1045, 13159145
OLF, 698, 154210189
MOB, 507, 154210189
AOBgl, 188, 157240210
AOBgr, 196, 149228200
AOBmi, 204, 157240210
AON, 159, 84191148
TTd, 597, 98208159
TTv, 605, 98208159
DP, 814, 164218164
PIR, 961, 106203186
NLOT1, 260, 149228200
NLOT2, 268, 149228200
NLOT3, 1139, 149228200
COAa, 639, 97231183
COApl, 655, 97231183
COApm, 663, 97231183
PAA, 788, 89218171
TR, 566, 168236211
HPF, 1089, 12620875
CA1, 382, 12620875
CA2, 423, 12620875
CA3, 463, 12620875
DG-mo, 10703, 12620875
DG-po, 10704, 12620875
DG-sg, 632, 10216861
FC, 982, 12620875
IG, 19, 12620875
ENTl1, 1121, 5018437
ENTl2, 20, 5018437
ENTl3, 52, 5018437
ENTl5, 139, 5018437
ENTl6a, 28, 5018437
ENTm1, 526, 5018437
ENTm2, 543, 5018437
ENTm3, 664, 5018437
ENTm5, 727, 5018437
ENTm6, 743, 5018437
PAR, 843, 114213105
POST, 1037, 7220060
PRE, 1084, 8918571
SUB, 502, 7919468
ProS, 484682470, 8818672
HATA, 589508447, 5118550
APr, 484682508, 5118550
CTXsp, 703, 138218135
CLA, 583, 138218135
EPd, 952, 160238157
EPv, 966, 160238157
LA, 131, 144235141
BLAa, 303, 157231156
BLAp, 311, 157231156
BLAv, 451, 157231156
BMAa, 327, 132234129
BMAp, 334, 132234129
PA, 780, 151236147
STR, 477, 152214249
CP, 672, 152214249
ACB, 56, 128205248
FS, 998, 128205248
OT, 754, 128205248
LSc, 250, 144203237
LSr, 258, 144203237
LSv, 266, 144203237
SF, 310, 144203237
SH, 333, 144203237
AAA, 23, 128192226
BA, 292, 128192226
CEAc, 544, 128192226
CEAl, 551, 128192226
CEAm, 559, 128192226
IA, 1105, 128192226
MEA, 403, 128192226
PAL, 803, 133153204
GPe, 1022, 133153204
GPi, 1031, 133153204
SI, 342, 162177216
MA, 298, 162177216
MS, 564, 150167211
NDB, 596, 150167211
TRS, 581, 150167211
BST, 351, 179192223
BAC, 287, 179192223
TH, 549, 255112128
VAL, 629, 255128132
VM, 685, 255128132
VPL, 718, 255128132
VPLpc, 725, 255128132
VPM, 733, 255128132
VPMpc, 741, 255128132
PoT, 563807435, 255128132
SPFm, 414, 255128132
SPFp, 422, 255128132
SPA, 609, 255128132
PP, 1044, 255128132
MGd, 1072, 255128132
MGv, 1079, 255128132
MGm, 1088, 255128132
LGd-sh, 496345664, 255128132
LGd-co, 496345668, 255128132
LGd-ip, 496345672, 255128132
LP, 218, 255144159
PO, 1020, 255144159
POL, 1029, 255144159
SGN, 325, 255144159
Eth, 560581551, 255144159
AV, 255, 255144159
AMd, 1096, 255144159
AMv, 1104, 255144159
AD, 64, 255144159
IAM, 1120, 255144159
IAD, 1113, 255144159
LD, 155, 255144159
IMD, 59, 255144159
MD, 362, 255144159
SMT, 366, 255144159
PR, 1077, 255144159
PVT, 149, 255144159
PT, 15, 255144159
RE, 181, 255144159
Xi, 560581559, 255144159
RH, 189, 255144159
CM, 599, 255144159
PCN, 907, 255144159
CL, 575, 255144159
PF, 930, 255144159
PIL, 560581563, 255144159
RT, 262, 255144159
IGL, 27, 255144159
IntG, 563807439, 255144159
LGv, 178, 255144159
SubG, 321, 255144159
MH, 483, 255144159
LH, 186, 255144159
HY, 1097, 2306856
SO, 390, 2559380
ASO, 332, 2559380
PVH, 38, 2559380
PVa, 30, 2559380
PVi, 118, 2559380
ARH, 223, 2559380
ADP, 72, 2558571
AVP, 263, 2558571
AVPV, 272, 2558571
DMH, 830, 2558571
MEPO, 452, 2558571
MPO, 523, 2558571
OV, 763, 2558571
PD, 914, 2558571
PS, 1109, 2558571
PVp, 126, 2558571
PVpo, 133, 2558571
SBPV, 347, 2558571
SCH, 286, 2558571
SFO, 338, 2558571
VMPO, 576073699, 2558571
VLPO, 689, 2558571
AHN, 88, 2557662
LM, 210, 2557662
Mmme, 732, 2557662
Mml, 606826647, 2557662
Mmm, 606826651, 2557662
Mmp, 606826655, 2557662
Mmd, 606826659, 2557662
SUM, 525, 2557662
TMd, 1126, 2557662
TMv, 1, 2557662
MPN, 515, 2557662
PMd, 980, 2557662
PMv, 1004, 2557662
PVHd, 63, 2557662
VMH, 693, 2557662
PH, 946, 2557662
LHA, 194, 2427259
LPO, 226, 2427259
PST, 356, 2427259
PSTN, 364, 2427259
PeF, 576073704, 2427259
RCH, 173, 2427259
STN, 470, 2427259
TU, 614, 2427259
ZI, 797, 2427259
FF, 804, 2427259
ME, 10671, 2427259
MB, 313, 255100255
SCop, 851, 255122255
SCsg, 842, 255122255
SCzo, 834, 255122255
ICc, 811, 255122255
ICd, 820, 255122255
ICe, 828, 255122255
NB, 580, 255122255
SAG, 271, 255122255
PBG, 874, 255122255
MEV, 460, 255122255
SCO, 599626923, 255122255
SNr, 381, 255144255
VTA, 749, 255144255
PN, 607344830, 255144255
RR, 246, 255144255
MRN, 128, 255144255
SCdg, 26, 255144255
SCdw, 42, 255144255
SCiw, 17, 255144255
SCig, 10, 255144255
PAG, 795, 255144255
PRC, 50, 255144255
INC, 67, 255144255
ND, 587, 255144255
Su3, 614454277, 255144255
APN, 215, 255144255
MPT, 531, 255144255
NOT, 628, 255144255
NPC, 634, 255144255
OP, 706, 255144255
PPT, 1061, 255144255
RPF, 549009203, 255144255
CUN, 616, 255144255
RN, 214, 255144255
III, 35, 255144255
MA3, 549009211, 255144255
EW, 975, 255144255
IV, 115, 255144255
Pa4, 606826663, 255144255
VTN, 757, 255144255
AT, 231, 255144255
LT, 66, 255144255
DT, 75, 255144255
MT, 58, 255144255
SNc, 374, 255166255
PPN, 1052, 255166255
IF, 12, 255166255
IPN, 100, 255166255
IPR, 607344834, 255166255
IPC, 607344838, 255166255
IPA, 607344842, 255166255
IPL, 607344846, 255166255
IPI, 607344850, 255166255
IPDM, 607344854, 255166255
IPDL, 607344858, 255166255
IPRL, 607344862, 255166255
RL, 197, 255166255
CLI, 591, 255166255
DR, 872, 255166255
P, 771, 255155136
NLL, 612, 255174111
PSV, 7, 255174111
PB, 867, 255174111
KF, 123, 255174111
POR, 122, 255174111
SOCm, 105, 255174111
SOCl, 114, 255174111
B, 280, 255186134
DTN, 880, 255186134
PDTg, 599626927, 255186134
PCG, 898, 255186134
PG, 931, 255186134
PRNc, 1093, 255186134
SG, 318, 255186134
SUT, 534, 255186134
TRN, 574, 255186134
V, 621, 255186134
P5, 549009215, 255186134
Acs5, 549009219, 255186134
PC5, 549009223, 255186134
I5, 549009227, 255186134
CS, 679, 255195149
LC, 147, 255195149
LDT, 162, 255195149
NI, 604, 255195149
PRNr, 146, 255195149
RPO, 238, 255195149
SLC, 350, 255195149
SLD, 358, 255195149
MY, 354, 255155205
AP, 207, 255165210
DCO, 96, 255165210
VCO, 101, 255165210
CU, 711, 255165210
GR, 1039, 255165210
ECU, 903, 255165210
NTB, 642, 255165210
NTS, 651, 255165210
SPVC, 429, 255165210
SPVI, 437, 255165210
SPVO, 445, 255165210
Pa5, 589508451, 255165210
VI, 653, 255179217
VII, 661, 255179217
ACVII, 576, 255179217
AMBd, 939, 255179217
AMBv, 143, 255179217
DMX, 839, 255179217
GRN, 1048, 255179217
ICB, 372, 255179217
IO, 83, 255179217
IRN, 136, 255179217
ISN, 106, 255179217
LIN, 203, 255179217
LRNm, 955, 255179217
LRNp, 963, 255179217
MARN, 307, 255179217
MDRNd, 1098, 255179217
MDRNv, 1107, 255179217
PARN, 852, 255179217
PAS, 859, 255179217
PGRNd, 970, 255179217
PGRNl, 978, 255179217
NR, 177, 255179217
PRP, 169, 255179217
PPY, 1069, 255179217
LAV, 209, 255179217
MV, 202, 255179217
SPIV, 225, 255179217
SUV, 217, 255179217
x, 765, 255179217
XII, 773, 255179217
y, 781, 255179217
RM, 206, 255198226
RPA, 230, 255198226
RO, 222, 255198226
CB, 512, 240240128
LING, 912, 255252145
CENT2, 976, 255252145
CENT3, 984, 255252145
CUL4_5, 1091, 255252145
CUL4_5pu, 10721, 255252145
DEC, 936, 255252145
FOTU, 944, 255252145
PYR, 951, 255252145
UVU, 957, 255252145
NOD, 968, 255252145
SIM, 1007, 255252145
ANcr1, 1056, 255252145
ANcr2, 1064, 255252145
PRM, 1025, 255252145
COPY, 1033, 255252145
PFL, 1041, 255252145
FL, 1049, 255252145
FN, 989, 255253188
IP, 91, 255253188
DN, 846, 255253188
VeCB, 589508455, 255253188
fiber tracts, 1009, 204204204
von, 949, 204204204
onl, 1016, 204204204
lot, 665, 204204204
lotd, 538, 204204204
aco, 900, 204204204
IIn, 848, 204204204
bsc, 916, 204204204
csc, 336, 204204204
och, 117, 204204204
opt, 125, 204204204
IIIn, 832, 204204204
mlf, 62, 204204204
pc, 158, 204204204
IVn, 911, 204204204
moV, 93, 204204204
sV, 229, 204204204
sptV, 794, 204204204
VIIn, 798, 204204204
gVIIn, 1116, 204204204
vVIIIn, 413, 204204204
tb, 841, 204204204
das, 506, 204204204
ll, 658, 204204204
cic, 633, 204204204
bic, 482, 204204204
ts, 237, 204204204
cuf, 380, 204204204
ml, 697, 204204204
cbc, 744, 204204204
scp, 326, 204204204
dscp, 812, 204204204
uf, 850, 204204204
sctv, 866, 204204204
mcp, 78, 204204204
icp, 1123, 204204204
sctd, 553, 204204204
arb, 728, 204204204
scwm, 484682512, 204204204
fa, 956, 204204204
ec, 579, 204204204
ee, 964, 204204204
ccg, 1108, 204204204
fp, 971, 204204204
ccb, 484682516, 204204204
ccs, 986, 204204204
cst, 784, 204204204
int, 6, 204204204
cpd, 924, 204204204
py, 190, 204204204
pyd, 198, 204204204
em, 1092, 204204204
or, 484682520, 204204204
ar, 484682524, 204204204
nst, 102, 204204204
tspd, 1051, 204204204
dtd, 1060, 204204204
tspc, 1043, 204204204
rust, 863, 204204204
vtd, 397, 204204204
amc, 884, 204204204
act, 908, 204204204
cing, 940, 204204204
alv, 466, 204204204
df, 530, 204204204
fi, 603, 204204204
mct, 428, 204204204
fx, 436, 204204204
dhc, 443, 204204204
vhc, 449, 204204204
st, 301, 204204204
stc, 484682528, 204204204
mfb, 54, 204204204
sup, 349, 204204204
pm, 753, 204204204
mtt, 690, 204204204
