Acronym, ID, redgreenblue
VISpor4, 312782640, 8133140
VISpor5, 312782644, 8133140
VISpor6a, 312782648, 8133140
VISpor6b, 312782652, 8133140
ACA, 31, 64166102
ACA1, 572, 64166102
ACA2/3, 1053, 64166102
ACA5, 739, 64166102
ACA6a, 179, 64166102
ACA6b, 227, 64166102
ACAd, 39, 64166102
ACAd1, 935, 64166102
ACAd2/3, 211, 64166102
ACAd5, 1015, 64166102
ACAd6a, 919, 64166102
ACAd6b, 927, 64166102
ACAv, 48, 64166102
ACAv1, 588, 64166102
ACAv2/3, 296, 64166102
ACAv5, 772, 64166102
ACAv6a, 810, 64166102
ACAv6b, 819, 64166102
PL, 972, 4716880
PL1, 171, 4716880
PL2, 195, 4716880
PL2/3, 304, 4716880
PL5, 363, 4716880
PL6a, 84, 4716880
PL6b, 132, 4716880
ILA, 44, 8917999
ILA1, 707, 8917999
ILA2, 747, 8917999
ILA2/3, 556, 8917999
ILA5, 827, 8917999
ILA6a, 1054, 8917999
ILA6b, 1081, 8917999
ORB, 714, 3613894
ORB1, 264, 3613894
ORB2/3, 492, 3613894
ORB5, 352, 3613894
ORB6a, 476, 3613894
ORB6b, 516, 3613894
ORBl, 723, 3613894
ORBl1, 448, 3613894
ORBl2/3, 412, 3613894
ORBl5, 630, 3613894
ORBl6a, 440, 3613894
ORBl6b, 488, 3613894
ORBm, 731, 3613894
ORBm1, 484, 3613894
ORBm2, 524, 3613894
ORBm2/3, 582, 3613894
ORBm5, 620, 3613894
ORBm6a, 910, 3613894
ORBm6b, 527696977, 3613894
ORBv, 738, 3613894
ORBvl, 746, 3613894
ORBvl1, 969, 3613894
ORBvl2/3, 288, 3613894
ORBvl5, 1125, 3613894
ORBvl6a, 608, 3613894
ORBvl6b, 680, 3613894
AI, 95, 33152102
AId, 104, 33152102
AId1, 996, 33152102
AId2/3, 328, 33152102
AId5, 1101, 33152102
AId6a, 783, 33152102
AId6b, 831, 33152102
AIp, 111, 33152102
AIp1, 120, 33152102
AIp2/3, 163, 33152102
AIp5, 344, 33152102
AIp6a, 314, 33152102
AIp6b, 355, 33152102
AIv, 119, 33152102
AIv1, 704, 33152102
AIv2/3, 694, 33152102
AIv5, 800, 33152102
AIv6a, 675, 33152102
AIv6b, 699, 33152102
RSP, 254, 26166152
RSPagl, 894, 26166152
RSPagl1, 671, 26166152
RSPagl2/3, 965, 26166152
RSPagl5, 774, 26166152
RSPagl6a, 906, 26166152
RSPagl6b, 279, 26166152
VISmma, 480149258, 26166152
VISmma1, 480149262, 26166152
VISmma2/3, 480149266, 26166152
VISmma4, 480149270, 26166152
VISmma5, 480149274, 26166152
VISmma6a, 480149278, 26166152
VISmma6b, 480149282, 26166152
VISmmp, 480149286, 26166152
VISmmp1, 480149290, 26166152
VISmmp2/3, 480149294, 26166152
VISmmp4, 480149298, 26166152
VISmmp5, 480149302, 26166152
VISmmp6a, 480149306, 26166152
VISmmp6b, 480149310, 26166152
VISm, 480149314, 26166152
VISm1, 480149318, 26166152
VISm2/3, 480149322, 26166152
VISm4, 480149326, 26166152
VISm5, 480149330, 26166152
VISm6a, 480149334, 26166152
VISm6b, 480149338, 26166152
RSPd, 879, 26166152
RSPd1, 442, 26166152
RSPd2/3, 434, 26166152
RSPd4, 545, 26166152
RSPd5, 610, 26166152
RSPd6a, 274, 26166152
RSPd6b, 330, 26166152
RSPv, 886, 26166152
RSPv1, 542, 26166152
RSPv2, 606, 26166152
RSPv2/3, 430, 26166152
RSPv5, 687, 26166152
RSPv6a, 590, 26166152
RSPv6b, 622, 26166152
PTLp, 22, 0159172
PTLp1, 532, 0159172
PTLp2/3, 241, 0159172
PTLp4, 635, 0159172
PTLp5, 683, 0159172
PTLp6a, 308, 0159172
PTLp6b, 340, 0159172
VISa, 312782546, 0159172
VISa1, 312782550, 0159172
VISa2/3, 312782554, 0159172
VISa4, 312782558, 0159172
VISa5, 312782562, 0159172
VISa6a, 312782566, 0159172
VISa6b, 312782570, 0159172
VISrl, 417, 0159172
VISrl1, 312782604, 0159172
VISrl2/3, 312782608, 0159172
VISrl4, 312782612, 0159172
VISrl5, 312782616, 0159172
VISrl6a, 312782620, 0159172
VISrl6b, 312782624, 0159172
TEa, 541, 21176179
TEa1, 97, 21176179
TEa2/3, 1127, 21176179
TEa4, 234, 21176179
TEa5, 289, 21176179
TEa6a, 729, 21176179
TEa6b, 786, 21176179
PERI, 922, 14150132
PERI6a, 335, 14150132
PERI6b, 368, 14150132
PERI1, 540, 14150132
PERI5, 692, 14150132
PERI2/3, 888, 14150132
ECT, 895, 13159145
ECT1, 836, 13159145
ECT2/3, 427, 13159145
ECT5, 988, 13159145
ECT6a, 977, 13159145
ECT6b, 1045, 13159145
OLF, 698, 154210189
MOB, 507, 154210189
MOBgl, 212, 130199174
MOBgr, 220, 130199174
MOBipl, 228, 154210189
MOBmi, 236, 130199174
MOBopl, 244, 154210189
AOB, 151, 157240210
AOBgl, 188, 157240210
AOBgr, 196, 149228200
AOBmi, 204, 157240210
AON, 159, 84191148
AONd, 167, 84191148
AONe, 175, 84191148
AONl, 183, 84191148
AONm, 191, 84191148
AONpv, 199, 84191148
AON1, 160, 84191148
AON2, 168, 84191148
TT, 589, 98208159
TTd, 597, 98208159
TTd1-4, 297, 98208159
TTd1, 1034, 98208159
TTd2, 1042, 98208159
TTd3, 1050, 98208159
TTd4, 1059, 98208159
TTv, 605, 98208159
TTv1-3, 306, 98208159
TTv1, 1067, 98208159
TTv2, 1075, 98208159
TTv3, 1082, 98208159
DP, 814, 164218164
DP1, 496, 164218164
DP2, 535, 164218164
DP2/3, 360, 164218164
DP5, 646, 164218164
DP6a, 267, 164218164
PIR, 961, 106203186
PIR1-3, 152, 106203186
PIR1, 276, 106203186
PIR2, 284, 106203186
PIR3, 291, 106203186
NLOT, 619, 149228200
NLOT1-3, 392, 149228200
NLOT1, 260, 149228200
NLOT2, 268, 149228200
NLOT3, 1139, 149228200
COA, 631, 97231183
COAa, 639, 97231183
COAa1, 192, 97231183
COAa2, 200, 97231183
COAa3, 208, 97231183
COAp, 647, 97231183
COApl, 655, 97231183
COApl1-2, 584, 97231183
COApl1-3, 376, 97231183
COApl1, 216, 97231183
COApl2, 224, 97231183
COApl3, 232, 97231183
COApm, 663, 97231183
COApm1-2, 592, 97231183
COApm1-3, 383, 97231183
COApm1, 240, 97231183
COApm2, 248, 97231183
COApm3, 256, 97231183
PAA, 788, 89218171
PAA1-3, 400, 89218171
PAA1, 408, 89218171
PAA2, 416, 89218171
PAA3, 424, 89218171
TR, 566, 168236211
TR1-3, 517, 168236211
TR1, 1140, 168236211
TR2, 1141, 168236211
TR3, 1142, 168236211
HPF, 1089, 12620875
HIP, 1080, 12620875
CA, 375, 12620875
CA1, 382, 12620875
CA1slm, 391, 12620875
CA1so, 399, 12620875
CA1sp, 407, 10216861
CA1sr, 415, 12620875
CA2, 423, 12620875
CA2slm, 431, 12620875
CA2so, 438, 12620875
CA2sp, 446, 10216861
CA2sr, 454, 12620875
CA3, 463, 12620875
CA3slm, 471, 12620875
CA3slu, 479, 12620875
CA3so, 486, 12620875
CA3sp, 495, 10216861
CA3sr, 504, 12620875
DG, 726, 12620875
DG-mo, 10703, 12620875
DG-po, 10704, 12620875
DG-sg, 632, 10216861
DG-sgz, 10702, 12620875
DGcr, 734, 12620875
DGcr-mo, 742, 12620875
DGcr-po, 751, 12620875
DGcr-sg, 758, 12620875
DGlb, 766, 12620875
DGlb-mo, 775, 12620875
DGlb-po, 782, 12620875
DGlb-sg, 790, 12620875
DGmb, 799, 12620875
DGmb-mo, 807, 12620875
DGmb-po, 815, 12620875
DGmb-sg, 823, 12620875
FC, 982, 12620875
IG, 19, 12620875
RHP, 822, 5018437
ENT, 909, 5018437
ENTl, 918, 5018437
ENTl1, 1121, 5018437
ENTl2, 20, 5018437
ENTl2/3, 999, 5018437
ENTl2a, 715, 5018437
ENTl2b, 764, 5018437
ENTl3, 52, 5018437
ENTl4, 92, 5018437
ENTl4/5, 312, 5018437
ENTl5, 139, 5018437
ENTl5/6, 387, 5018437
ENTl6a, 28, 5018437
ENTl6b, 60, 5018437
ENTm, 926, 5018437
ENTm1, 526, 5018437
ENTm2, 543, 5018437
ENTm2a, 468, 5018437
ENTm2b, 508, 5018437
ENTm3, 664, 5018437
ENTm4, 712, 5018437
ENTm5, 727, 5018437
ENTm5/6, 550, 5018437
ENTm6, 743, 5018437
ENTmv, 934, 5018437
ENTmv1, 259, 5018437
ENTmv2, 324, 5018437
ENTmv3, 371, 5018437
ENTmv4, 419, 5018437
ENTmv5/6, 1133, 5018437
PAR, 843, 114213105
PAR1, 10693, 114213105
PAR2, 10694, 114213105
PAR3, 10695, 114213105
POST, 1037, 7220060
POST1, 10696, 7220060
POST2, 10697, 7220060
POST3, 10698, 7220060
PRE, 1084, 8918571
PRE1, 10699, 8918571
PRE2, 10700, 8918571
PRE3, 10701, 8918571
SUB, 502, 7919468
SUBd, 509, 7919468
SUBd-m, 829, 7919468
SUBd-sp, 845, 7518171
SUBd-sr, 837, 7919468
SUBv, 518, 7919468
SUBv-m, 853, 7919468
SUBv-sp, 870, 7518171
SUBv-sr, 861, 7919468
